Sr_no,Cases,Education,Applicant_Income,Family_Income,Total_assets,Business_type,Credit,Loan_Amount,Loan_Amount_Term,Rating_Reviewportal,Daily_Sales,Competition,Rent_Wages,Size_Shop,Location,Supply,Total_Workers,No_customers,Freq_Supply_pay,Nature,Loan_Status
149,2,Graduate,10000,1666,1,No,Yes,225,360,0,4,2,3,0,0,4,0,3,1,5,N
150,0,Graduate,4860,830,3,No,No,125,360,5,4,0,5,0,2,5,5,4,1,3,Y
151,4,Graduate,6277,0,1,No,Yes,118,360,1,1,4,5,5,3,0,2,2,2,3,N
152,2,Graduate,2577,3750,5,Yes,Yes,152,360,2,1,2,2,3,1,2,3,1,1,2,Y
153,2,Graduate,9166,0,5,Yes,No,244,360,1,3,0,2,1,1,0,0,1,0,3,N
154,2,Not Graduate,2281,0,1,Yes,Yes,113,360,4,0,0,1,0,3,4,6,0,5,4,N
155,2,Graduate,3254,0,4,No,No,50,360,2,1,3,1,2,4,4,7,1,1,4,Y
156,4,Graduate,39999,0,5,No,No,600,180,4,5,2,5,2,5,2,0,5,2,4,Y
157,3,Graduate,6000,0,4,Yes,No,160,360,4,4,0,0,0,0,4,6,1,4,4,Y
158,2,Graduate,9538,0,2,No,Yes,187,360,5,5,5,5,1,0,3,6,4,3,4,Y
159,0,Graduate,2980,2083,4,Yes,No,120,360,3,4,3,1,5,5,2,5,5,1,4,Y
160,0,Graduate,4583,5625,3,Yes,No,255,360,3,1,0,4,0,0,4,5,1,5,5,Y
161,1,Not Graduate,1863,1041,3,Yes,No,98,360,0,1,3,3,0,0,4,4,5,0,1,Y
162,4,Graduate,7933,0,3,Yes,Yes,275,360,2,5,4,4,2,4,1,4,4,4,4,N
163,4,Graduate,3089,1280,5,Yes,Yes,121,360,2,2,4,2,0,4,1,3,5,3,2,N
164,1,Graduate,4167,1447,1,No,Yes,158,360,1,5,0,5,2,5,2,1,2,4,0,Y
165,1,Graduate,9323,0,5,Yes,Yes,75,180,5,1,4,3,4,5,5,5,3,3,2,Y
166,1,Graduate,3707,3166,2,No,No,182,,2,2,4,3,5,0,0,7,5,5,5,Y
167,2,Graduate,4583,0,2,No,No,112,360,5,4,3,3,0,2,2,4,1,3,0,N
168,0,Graduate,2439,3333,0,Yes,Yes,129,360,5,5,5,2,5,0,5,5,1,5,2,Y
169,3,Graduate,2237,0,0,Yes,Yes,63,480,5,1,4,3,5,2,5,2,1,2,2,N
170,0,Graduate,8000,0,0,No,No,200,360,3,0,5,0,2,4,0,2,5,2,1,Y
171,4,Not Graduate,1820,1769,1,No,Yes,95,360,4,2,1,4,5,3,2,4,2,4,4,Y
172,0,Graduate,51763,0,3,No,No,700,300,1,5,2,3,3,3,4,4,1,5,2,Y
173,2,Not Graduate,3522,0,0,No,Yes,81,180,4,3,2,1,0,0,4,1,1,5,2,N
174,3,Graduate,5708,5625,1,Yes,Yes,187,360,2,4,1,1,5,4,1,0,4,0,0,Y
175,2,Not Graduate,4344,736,5,No,Yes,87,360,4,0,3,4,1,5,4,4,5,0,0,N
176,4,Graduate,3497,1964,5,No,Yes,116,360,2,3,1,0,2,5,2,4,0,2,2,Y
177,0,Graduate,2045,1619,0,No,Yes,101,360,2,3,1,0,3,5,1,6,5,5,0,Y
178,2,Graduate,5516,11300,1,Yes,Yes,495,360,5,0,2,2,4,3,5,7,0,4,3,N
179,1,Graduate,3750,0,1,No,No,116,360,3,3,5,4,3,1,5,7,3,0,3,Y
180,0,Not Graduate,2333,1451,4,No,No,102,480,2,1,3,4,5,5,3,2,1,2,4,N
181,2,Graduate,6400,7250,3,Yes,Yes,180,360,0,4,0,4,1,3,3,2,5,3,2,N
182,2,Graduate,1916,5063,5,Yes,Yes,67,360,1,2,1,3,3,4,4,4,2,5,4,N
183,3,Graduate,4600,0,4,No,Yes,73,180,4,1,0,0,3,0,1,3,1,3,3,Y
184,0,Graduate,33846,0,5,Yes,Yes,260,360,1,2,5,2,5,1,2,7,4,1,0,N
185,1,Graduate,3625,0,5,Yes,Yes,108,360,2,0,3,0,4,5,4,6,2,1,0,Y
186,2,Graduate,39147,4750,4,No,No,120,360,4,5,1,2,3,5,2,2,4,2,4,Y
187,1,Graduate,2178,0,4,Yes,No,66,300,4,1,5,4,1,4,5,7,3,1,4,N
188,3,Graduate,2383,2138,3,Yes,No,58,360,5,1,0,2,1,5,2,0,4,2,0,Y
189,3,Graduate,674,5296,4,Yes,No,168,360,0,4,5,0,5,0,4,3,3,3,4,Y
190,0,Graduate,9328,0,5,No,No,188,180,1,3,0,5,0,5,3,1,4,1,1,Y
191,1,Not Graduate,4885,0,2,Yes,No,48,360,1,0,4,2,2,5,2,2,4,2,2,Y
192,1,Graduate,12000,0,3,Yes,No,164,360,3,3,3,3,1,1,3,6,0,5,1,N
193,1,Not Graduate,6033,0,1,Yes,No,160,360,1,3,1,0,0,2,1,1,5,3,1,N
194,2,Graduate,3858,0,3,No,No,76,360,2,2,5,0,1,0,1,4,2,5,1,Y
195,4,Graduate,4191,0,3,No,No,120,360,1,0,1,2,4,2,5,2,4,4,4,Y
196,2,Graduate,3125,2583,4,No,Yes,170,360,3,5,1,3,0,5,4,1,1,5,0,N
197,2,Graduate,8333,3750,0,No,Yes,187,360,0,0,2,3,4,3,4,6,5,3,3,Y
198,4,Not Graduate,1907,2365,5,No,No,120,,3,4,4,4,1,5,2,7,1,0,5,Y
199,0,Graduate,3416,2816,4,Yes,Yes,113,360,0,5,2,3,2,0,5,4,3,5,2,Y
200,0,Graduate,11000,0,0,No,Yes,83,360,4,0,1,2,0,2,1,2,1,2,4,N
201,2,Not Graduate,2600,2500,4,Yes,No,90,360,5,3,2,4,5,5,2,6,4,4,4,Y
202,3,Graduate,4923,0,0,Yes,Yes,166,360,4,1,2,4,0,5,3,2,5,0,0,Y
203,1,Not Graduate,3992,0,5,Yes,No,,180,4,3,4,4,2,5,1,2,3,0,5,N
204,4,Not Graduate,3500,1083,4,Yes,No,135,360,1,5,1,1,2,3,5,5,4,5,3,Y
205,4,Not Graduate,3917,0,1,Yes,No,124,360,4,4,1,2,1,2,4,1,3,1,4,Y
206,1,Not Graduate,4408,0,4,Yes,No,120,360,4,3,0,4,1,1,4,6,3,2,3,Y
207,3,Graduate,3244,0,2,No,Yes,80,360,5,3,4,3,5,2,5,7,5,0,4,Y
208,4,Not Graduate,3975,2531,4,No,No,55,360,0,2,5,3,5,0,0,5,0,3,5,Y
209,4,Graduate,2479,0,4,Yes,Yes,59,360,2,2,3,5,4,3,4,4,2,1,1,Y
210,0,Graduate,3418,0,4,No,No,127,360,5,0,1,4,3,0,4,1,2,2,0,N
211,4,Graduate,10000,0,0,No,No,214,360,2,1,5,0,0,3,2,2,2,5,4,N
212,2,Graduate,3430,1250,2,Yes,Yes,128,360,4,3,4,1,4,5,1,2,3,4,4,N
213,0,Graduate,7787,0,3,Yes,Yes,240,360,5,3,0,1,1,1,1,5,4,1,1,Y
214,1,Not Graduate,5703,0,4,Yes,No,130,360,0,3,5,2,0,5,4,6,4,0,4,Y
215,0,Graduate,3173,3021,1,No,No,137,360,0,0,4,2,0,4,4,3,2,0,3,Y
216,0,Not Graduate,3850,983,3,Yes,Yes,100,360,5,4,2,2,5,4,3,0,2,3,3,Y
217,4,Graduate,150,1800,4,Yes,Yes,135,360,2,5,1,2,5,3,1,2,4,0,3,N
218,2,Graduate,3727,1775,1,Yes,Yes,131,360,5,5,5,4,1,4,3,2,4,3,0,Y
219,2,Graduate,5000,0,4,Yes,Yes,72,360,1,5,0,0,0,0,3,0,2,0,4,N
220,4,Graduate,4283,2383,1,No,No,127,360,2,5,0,1,1,2,3,3,0,2,2,Y
221,4,Graduate,2221,0,5,Yes,Yes,60,360,5,0,0,0,1,1,1,6,2,4,2,N
222,3,Graduate,4009,1717,0,Yes,Yes,116,360,1,4,2,1,0,4,1,2,0,4,4,Y
223,0,Graduate,2971,2791,2,Yes,Yes,144,360,2,3,2,2,2,5,4,0,0,5,3,Y
224,2,Graduate,7578,1010,3,Yes,No,175,,4,0,1,4,2,2,4,1,5,0,2,Y
225,0,Graduate,6250,0,4,Yes,Yes,128,360,3,3,0,3,3,2,3,1,4,3,3,Y
226,0,Graduate,3250,0,1,Yes,Yes,170,360,2,5,0,2,0,2,2,4,2,2,0,N
227,1,Not Graduate,4735,0,2,Yes,Yes,138,360,1,4,5,0,0,4,2,5,3,5,4,N
228,1,Graduate,6250,1695,0,Yes,No,210,360,5,2,5,2,5,0,2,6,3,5,0,Y
229,3,Graduate,4758,0,3,Yes,Yes,158,480,3,2,4,2,2,1,4,2,1,4,0,Y
230,3,Graduate,6400,0,0,Yes,Yes,200,360,2,4,1,0,4,2,1,0,0,2,4,Y
231,3,Graduate,2491,2054,0,Yes,Yes,104,360,2,0,5,1,4,5,3,4,5,5,2,Y
232,3,Graduate,3716,0,3,No,No,42,180,3,3,3,0,2,4,5,0,1,1,2,Y
233,4,Not Graduate,3189,2598,4,No,No,120,,2,0,2,2,3,1,4,2,1,3,3,Y
234,2,Graduate,8333,0,1,Yes,Yes,280,360,4,3,0,3,4,3,1,0,5,0,0,Y
235,4,Graduate,3155,1779,1,No,Yes,140,360,0,0,5,2,2,0,4,5,2,3,0,Y
236,2,Graduate,5500,1260,3,Yes,Yes,170,360,3,0,1,0,5,5,1,6,2,5,0,Y
237,4,Graduate,5746,0,2,No,No,255,360,0,4,4,3,5,4,2,7,2,2,4,N
238,3,Graduate,3463,0,4,Yes,No,122,360,1,5,1,3,2,4,5,1,1,5,5,Y
239,2,Graduate,3812,0,2,Yes,No,112,360,3,3,5,3,2,4,1,5,3,2,5,Y
240,1,Graduate,3315,0,5,Yes,Yes,96,360,1,2,0,5,0,3,0,0,3,3,2,Y
241,2,Graduate,5819,5000,1,Yes,Yes,120,360,2,1,1,3,2,2,5,4,3,3,0,Y
242,4,Not Graduate,2510,1983,5,Yes,Yes,140,180,1,0,1,4,3,4,3,0,2,2,1,N
243,3,Graduate,2965,5701,2,No,Yes,155,60,0,2,4,2,0,2,2,4,3,0,4,Y
244,3,Graduate,6250,1300,2,Yes,Yes,108,360,3,3,0,1,1,0,3,7,4,4,3,Y
245,3,Not Graduate,3406,4417,2,No,No,123,360,3,3,0,4,0,0,0,1,4,0,5,Y
246,2,Graduate,6050,4333,3,Yes,Yes,120,180,3,4,1,0,5,2,2,0,2,1,0,N
247,2,Graduate,9703,0,2,No,Yes,112,360,4,1,3,2,2,4,4,2,3,0,4,Y
248,4,Not Graduate,6608,0,5,Yes,No,137,180,1,1,2,4,5,2,1,7,4,2,5,Y
249,2,Graduate,2882,1843,5,No,Yes,123,480,2,4,4,3,2,4,2,1,3,2,0,Y
250,2,Graduate,1809,1868,5,Yes,Yes,90,360,4,0,5,4,1,4,1,0,1,5,5,Y
251,4,Not Graduate,1668,3890,0,No,No,201,360,2,5,1,3,0,4,5,0,5,1,1,N
252,4,Graduate,3427,0,1,Yes,No,138,360,2,3,0,0,5,2,4,5,2,3,3,N
253,0,Not Graduate,2583,2167,1,Yes,Yes,104,360,2,5,0,0,5,4,5,1,2,2,2,Y
254,2,Not Graduate,2661,7101,4,No,No,279,180,0,3,5,1,2,2,3,7,4,4,4,Y
255,3,Graduate,16250,0,1,Yes,Yes,192,360,3,3,5,5,4,5,1,4,5,4,1,N
256,0,Graduate,3083,0,1,Yes,Yes,255,360,4,0,3,3,3,1,3,1,5,0,5,Y
257,0,Not Graduate,6045,0,1,Yes,Yes,115,360,5,3,1,3,0,3,4,4,1,5,3,N
258,4,Graduate,5250,0,4,No,Yes,94,360,0,2,5,0,1,1,5,0,2,5,2,N
259,0,Graduate,14683,2100,4,Yes,Yes,304,360,5,4,1,5,2,1,3,4,4,5,4,N
260,1,Not Graduate,4931,0,2,No,Yes,128,360,2,4,2,5,3,4,3,7,4,5,2,N
261,0,Graduate,6083,4250,0,No,No,330,360,2,5,1,5,1,3,1,4,4,2,1,Y
262,1,Graduate,2060,2209,1,Yes,No,134,360,0,5,0,3,1,1,3,1,1,1,5,Y
263,4,Graduate,3481,0,4,No,No,155,36,4,3,0,3,5,5,1,6,1,0,0,N
264,3,Graduate,7200,0,4,Yes,Yes,120,360,2,2,3,0,5,2,2,3,5,1,2,Y
265,0,Graduate,5166,0,1,Yes,No,128,360,3,0,2,5,1,2,4,1,4,0,4,Y
